"Symbol","Name","Country","Underlying Symbol","Underlying Exchange","GICS Sector","Market cap","P/E","P/S","P/B","Current yield","Avg Volume","Action"
"ZH","Zhihu Inc. ADRs","China","","","Unknown","$5,059,160,576","0.00","0.00","0.00","0.00%","8,389,742","Analyze"
"PAC","Grupo Aeroportuario del Pacifico ADRs of Series B","Mexico","MM:GAPB","Bolsa Mexicana De Valores (Mexican Stock Exchange)","Industrials","$5,048,887,800","59.36","10.29","0.23","0.35%","89,826","Analyze"
"ASR","Grupo Aeroportuario del Sureste ADRs","Mexico","MM:ASURB","Bolsa Mexicana De Valores (Mexican Stock Exchange)","Industrials","$5,046,742,800","56.57","9.39","0.15","0.19%","66,206","Analyze"
"SBS","SABESP ADRs","Brazil","BS:SBSP3","XBSP","Health Care","$5,030,632,636","29.39","1.68","0.23","3.44%","2,004,916","Analyze"
"DQ","Daqo New Energy ADRs","China","PRIVATE","","Information Technology","$4,872,206,160","37.71","7.21","6.35","0.00%","2,957,932","Analyze"
"YSG","Yatsen Holding Ltd ADRs","China","PRIVATE","","Consumer Discretionary","$4,570,437,842","0.00","5.85","0.67","0.00%","3,783,606","Analyze"
"ABCM","Abcam plc ADRs","United Kingdom","LN:ABC","London Stock Exchange","Health Care","$4,509,457,797","240.02","12.54","7.16","0.75%","217,202","Analyze"
"GRFS","Grifols SA ADRs","Spain","SM:GRF.P","Bolsa De Madrid","Health Care","$4,470,367,500","31.77","0.70","0.88","2.80%","1,072,282","Analyze"
"HUYA","HUYA Inc. ADRs of Class A","China","PRIVATE","","Communication Services","$4,414,991,082","34.58","2.66","0.16","0.00%","2,659,148","Analyze"
"JOBS","51job, Inc. ADRs","China","PRIVATE","","Industrials","$4,330,203,646","25.84","7.71","0.35","0.00%","187,956","Analyze"
"GSX","GSX Techedu Inc. ADRs of Class A shares","China","PRIVATE","","Consumer Discretionary","$4,205,287,200","307.01","3.88","0.73","0.00%","16,090,898","Analyze"
"UGP","Ultrapar Participacoes SA ADRs","Brazil","BS:UGPA3","XBSP","Energy","$4,181,271,420","26.70","0.32","0.44","2.10%","2,328,044","Analyze"
"TKC","Turkcell Iletisim Hizmetleri ADRs","Turkey","TI:TCELL","Istanbul Stock Exchange","Communication Services","$4,144,800,000","6.32","1.15","0.20","2.49%","1,227,774","Analyze"
"HCM","Hutchison China Meditech ADRs","China","LN:HCM","London Stock Exchange","Health Care","$4,062,145,404","-34.64","15.04","8.39","0.00%","267,130","Analyze"
"LEGN","Legend Biotech Corporation ADRs","China","PRIVATE","","Health Care","$3,836,103,194","-12.64","50.69","13.69","0.00%","384,791","Analyze"
"BSMX","Santander Mexico ADRs","Mexico","PRIVATE","","Financials","$3,694,825,954","7.74","1.12","0.02","1.94%","741,541","Analyze"
"CIB","Bancolombia SA ADRs","Colombia","CX:PFBCOLOM","Bolsa De Valores De Colombia","Financials","$3,680,276,466","24.12","1.51","0.00","2.82%","202,313","Analyze"
"ASAI","Sendas Distribuidora S.A. ADRs","Brazil","BS:ASAI3","XBSP","Unknown","$3,622,746,155","0.00","0.00","0.00","0.00%","297,317","Analyze"
"BRFS","BRF SA ADRs","Brazil","BS:BRFS3","XBSP","Consumer Staples","$3,599,256,480","14.63","0.52","0.42","5.86%","3,093,652","Analyze"
"WNS","WNS Holdings ADRs","India","PRIVATE","","Industrials","$3,598,240,944","34.40","3.92","5.15","0.00%","161,604","Analyze"
"CIG","Companhia Energetica de Minas Gerais-CEMIG ADRs","Brazil","BS:CMIG4","XBSP","Utilities","$3,590,184,494","6.61","0.83","0.13","2.82%","9,703,924","Analyze"
"CIG.C","Comp En De Mn Cemig ADRs","Brazil","BS:CMIG3","XBSP","Utilities","$3,590,184,494","0.69","0.14","0.08","2.21%","20,793","Analyze"
"IMAB","I-MAB ADRs","China","PRIVATE","","Health Care","$3,587,266,999","0.00","14.98","0.64","0.00%","418,973","Analyze"
"VNET","21Vianet Group, Inc. ADRs","China","PRIVATE","","Information Technology","$3,577,383,733","40.47","4.87","0.54","0.00%","2,622,364","Analyze"
"JMIA","Jumia Technologies AG ADRs","Germany","PRIVATE","","Consumer Discretionary","$3,305,540,496","0.00","20.13","14.72","0.00%","8,543,633","Analyze"
"CCU","Compania Cervecerias Unidas SA ADRs","Chile","CC:CCU","Santiago Stock Exchange","Consumer Staples","$3,297,813,133","7.05","1.42","0.00","3.28%","241,718","Analyze"
"DOYU","DouYu International Holdings Limited ADRs","China","PRIVATE","","Communication Services","$3,295,437,521","31.17","2.25","0.47","0.00%","2,700,374","Analyze"
"QFIN","360 Finance, Inc. ADRs","China","PRIVATE","","Financials","$3,150,982,659","7.57","1.79","0.33","0.00%","3,854,905","Analyze"
"ZNH","China Southern Airlines ADRs","China","HK:1055","Hong Kong Exchange","Industrials","$3,149,926,725","16.78","0.17","0.05","4.11%","29,741","Analyze"
"VEON","VEON Ltd ADRs","The Netherlands","NA:VEON","Nyse Euronext - Euronext Amsterdam","Communication Services","$3,074,279,486","-8.81","0.39","18.86","8.47%","6,039,165","Analyze"
"YALA","Yalla Group Ltd ADRs of Class A","United Arab Emirates","PRIVATE","","Information Technology","$3,019,336,000","-286.04","22.68","12.93","0.00%","2,972,519","Analyze"
"HMY","Harmony Gold Mining Company Limited ADRs","South Africa","SJ:HAR","Johannesburg Stock Exchange","Materials","$2,969,371,590","11.48","0.63","0.10","1.52%","5,103,617","Analyze"
"MOR","MorphoSys AG ADRs","Germany","GF:MOR","Frankfurt Stock Exchange","Health Care","$2,953,526,131","25.34","26.46","4.75","0.00%","105,256","Analyze"
"DAVA","Endava plc ADRs of Class A shares","United Kingdom","PRIVATE","","Information Technology","$2,863,663,789","97.62","5.40","11.06","0.00%","122,372","Analyze"
"CD","Chindata Group Holdings Ltd ADRs","China","PRIVATE","","Information Technology","$2,761,268,092","0.00","10.15","0.28","0.00%","873,468","Analyze"
"BVN","Compania de Minas Buenaventura ADRs","Peru","PE:BVN","Bolsa De Valores De Lima","Materials","$2,759,894,837","-20.34","3.49","1.05","0.00%","799,821","Analyze"
"NIU","Niu Technologies Class A ADRs","China","PRIVATE","","Consumer Discretionary","$2,738,795,280","114.42","7.36","2.40","0.00%","1,392,458","Analyze"
"CAN","Canaan Inc. ADRs","China","PRIVATE","","Information Technology","$2,657,901,599","-2.82","3.05","4.89","0.00%","22,726,151","Analyze"
"MFGP","Micro Focus Intl Plc ADRs","United Kingdom","LN:MCRO","London Stock Exchange","Information Technology","$2,645,012,695","-1.87","0.83","0.82","9.19%","1,157,969","Analyze"
"AMRN","Amarin Corp PLC ADRs","United Kingdom","PRIVATE","","Health Care","$2,557,337,413","-142.08","4.16","4.08","0.00%","4,679,333","Analyze"
"MOMO","MOMO Inc ADRs","China","PRIVATE","","Communication Services","$2,549,767,379","10.15","1.11","0.17","3.54%","3,984,513","Analyze"
"BAK","Braskem SA ADRs","Brazil","BS:BRKM3","XBSP","Materials","$2,532,664,592","2,395.86","0.25","-1.15","5.55%","271,503","Analyze"
"BNR","Burning Rock Biotech Limited ADRs","China","PRIVATE","","Health Care","$2,471,917,986","0.00","37.76","1.02","0.00%","394,616","Analyze"
"CEA","China Eastern Airlines ADRs","China","HK:0670","Hong Kong Exchange","Industrials","$2,452,757,322","14.99","0.21","0.04","1.50%","15,004","Analyze"
"KOF","Coca-Cola Femsa ADRs of Series L Shares","Mexico","MM:KOFL","Bolsa Mexicana De Valores (Mexican Stock Exchange)","Consumer Staples","$2,445,368,774","19.60","0.22","0.02","4.60%","162,281","Analyze"
"HIMX","Himax Technologies ADRs","Taiwan","PRIVATE","","Information Technology","$2,441,569,560","51.80","2.75","5.08","0.00%","3,500,906","Analyze"
"AKO.A","Embotelladora Andina ADRs of A Shares","Chile","CC:ANDINAA","Santiago Stock Exchange","Consumer Staples","$2,324,997,148","14.18","0.96","0.00","5.75%","174,860","Analyze"
"AKO.B","Embotelladora Andina ADRs of B Shares","Chile","CC:ANDINAB","Santiago Stock Exchange","Consumer Staples","$2,324,997,148","16.82","1.03","0.00","5.65%","174,860","Analyze"
"SIMO","Silicon Motion Technology Corporation ADRs","Taiwan","PRIVATE","","Information Technology","$2,291,894,853","28.74","4.25","4.11","2.12%","539,916","Analyze"
"MYTE","MYT Netherlands Parent B.V. ADRs","The Netherlands","PRIVATE","","Consumer Discretionary","$2,273,257,472","0.00","3.84","0.00","0.00%","412,135","Analyze"
"AVAL","Grupo Aval Acciones y Valores ADRs","Colombia","CX:PFAVAL","Bolsa De Valores De Colombia","Financials","$2,243,798,797","8.22","0.35","0.00","4.98%","119,849","Analyze"
"OMAB","Grupo Aeroportuario-OMA ADRs","Mexico","MM:OMAB","Bolsa Mexicana De Valores (Mexican Stock Exchange)","Industrials","$2,193,934,274","46.85","9.51","0.21","0.39%","264,138","Analyze"
"CRTO","Criteo SA ADRs","France","PRIVATE","","Information Technology","$2,166,142,448","30.22","1.05","1.94","0.00%","889,070","Analyze"
"SIM","Grupo Simec ADRs of B Shares","Mexico","MM:SIMECB","Bolsa Mexicana De Valores (Mexican Stock Exchange)","Information Technology","$2,111,946,094","10.43","1.19","0.06","4.68%","1,837","Analyze"
"TLND","Talend S.A. ADRs","France","PRIVATE","","Information Technology","$2,070,364,199","-26.02","7.20","237.29","0.00%","1,037,988","Analyze"
"NCTY","The9  Limited ADRs","China","PRIVATE","","Information Technology","$2,055,352,960","2.84","16,722.12","-7.14","0.00%","3,020,023","Analyze"
"IBA","Industrias Bachoco ADRs","Mexico","MM:BACHOCOB","Bolsa Mexicana De Valores (Mexican Stock Exchange)","Consumer Staples","$2,032,000,000","11.26","0.60","0.05","0.86%","11,793","Analyze"
"GTH","Genetron Holdings Limited ADRs","China","PRIVATE","","Health Care","$2,016,421,296","0.00","31.20","1.19","0.00%","363,908","Analyze"
"TIGR","UP Fintech Holding Limited ADRs of Class A","China","PRIVATE","","Financials","$2,014,180,910","122.36","14.84","8.55","0.00%","9,720,005","Analyze"
"ITCB","Itau CorpBanca ADRs","Chile","CC:ITAUCORP","Santiago Stock Exchange","Financials","$1,974,474,050","3.83","1.55","0.00","0.00%","53,639","Analyze"
"NOAH","Noah Holdings ADRs","China","PRIVATE","","Financials","$1,964,709,329","21.05","3.90","0.27","0.00%","193,462","Analyze"
"BZUN","Baozun Inc. ADRs","China","PRIVATE","","Consumer Discretionary","$1,960,612,500","36.19","1.45","0.32","0.00%","985,707","Analyze"
"ERJ","Embraer S.A. ADRs","Brazil","BS:EMBR3","XBSP","Industrials","$1,914,102,139","0.00","1.17","0.12","0.20%","5,207,275","Analyze"
"MTLS","Materialise NV ADRs","Belgium","PRIVATE","","Information Technology","$1,864,254,702","395.67","9.30","14.01","0.00%","774,646","Analyze"
"IMCR","Immunocore Holdings plc ADRs","United Kingdom","PRIVATE","","Health Care","$1,817,122,652","0.00","100.58","32.83","0.00%","95,998","Analyze"
"RAAS","Cloopen Group Holding Limited ADRs of class A","China","PRIVATE","","Information Technology","$1,809,820,902","0.00","72.04","-0.38","0.00%","2,182,734","Analyze"
"HHR","HeadHunter Group PLC ADRs","Russia","PRIVATE","","Industrials","$1,775,000,000","59.69","16.38","0.52","3.01%","129,405","Analyze"
"PRTC","PureTech Health plc ADRs","United Kingdom","LN:PRTC","London Stock Exchange","Health Care","$1,690,519,309","26.95","123.50","2.13","0.00%","393","Analyze"
"ACH","Aluminum Corporation of China ADRs","China","HK:2600","Hong Kong Exchange","Materials","$1,673,819,160","106.60","0.04","0.03","0.00%","233,999","Analyze"
"HNP","Huaneng Power International Inc ADRs","China","HK:0902","Hong Kong Exchange","Utilities","$1,667,461,025","13.10","0.05","0.01","5.46%","50,612","Analyze"
"YPF","YPF Sociedad Anonima ADRs","Argentina","AF:YPFD","Bolsa de Comercio de Buenos Aires","Energy","$1,632,033,079","1.31","0.24","0.00","2.10%","1,265,006","Analyze"
"VLRS","Controladora Vuela Compania de Aviacion S.A.B. de C.V. - Volaris ADRs","Mexico","MM:VOLARA","Bolsa Mexicana De Valores (Mexican Stock Exchange)","Industrials","$1,591,017,005","18.82","1.68","0.57","0.00%","612,409","Analyze"
"CBD","Companhia Brasileira de Distribuica ADRs","Brazil","BS:PCAR4","XBSP","Consumer Discretionary","$1,543,021,510","4.07","0.09","0.11","5.90%","2,900,019","Analyze"
"NNDM","Nano Dimension Ltd. ADRs","Israel","IT:NNDM","Tel Aviv Stock Exchange","Information Technology","$1,407,037,416","-29.01","413.96","2.11","0.00%","23,335,524","Analyze"
"HLG","Hailiang Education Group Inc. ADRs","China","PRIVATE","","Consumer Staples","$1,404,901,000","21.19","4.51","0.62","0.00%","4,513","Analyze"
"CMPS","COMPASS Pathways Plc ADRs","United Kingdom","PRIVATE","","Health Care","$1,372,844,267","0.00","0.00","6.98","0.00%","371,843","Analyze"
"FORTY","Formula Systems (1985) Ltd. ADRs","Israel","IT:FORTY","Tel Aviv Stock Exchange","Information Technology","$1,366,977,720","29.59","0.72","2.75","1.35%","5,012","Analyze"
"RLX","RLX Technology Inc. ADRs of class A","China","PRIVATE","","Consumer Staples","$1,357,166,750","0.00","2.33","0.90","0.00%","17,230,500","Analyze"
"ZEAL","Zealand Pharma A/S ADRs","Denmark","DC:ZEAL","Omx Nordic Exchange Copenhagen A/S","Health Care","$1,316,756,000","10.89","0.00","1.12","0.00%","13,592","Analyze"
"FINV","FinVolution Group ADRs","China","PRIVATE","","Financials","$1,289,646,104","2.18","1.19","0.16","2.43%","8,277,672","Analyze"
"LX","LexinFintech Holdings Ltd. ADRs","China","PRIVATE","","Financials","$1,282,720,949","20.51","0.72","0.23","0.00%","2,389,139","Analyze"
"MSC","Studio City International Holdings Limited Class A ADRs","Hong Kong","MLCO","NASDAQ Global Select","Consumer Discretionary","$1,280,809,260","-3.98","26.03","1.21","0.00%","1,323","Analyze"
"LINX","Linx S.A. ADRs","Brazil","BS:LINX3","XBSP","Information Technology","$1,257,675,494","1,490.81","8.25","0.75","0.30%","25,386","Analyze"
"OPRA","Opera Limited ADRs","Norway","PRIVATE","","Information Technology","$1,223,614,546","6.95","4.28","1.17","0.00%","185,651","Analyze"
"JKS","JinkoSolar Holding ADRs","China","PRIVATE","","Information Technology","$1,192,607,500","12.06","0.22","0.12","0.00%","2,516,861","Analyze"
"YQ","17 Education & Technology Group Inc. ADRs","China","PRIVATE","","Consumer Discretionary","$1,176,791,432","0.00","7.55","0.57","0.00%","1,710,140","Analyze"
"IMOS","ChipMOS TECHNOLOGIES ADRs","Taiwan","TT:8150","Taiwan Stock Exchange","Information Technology","$1,164,311,432","14.27","1.50","0.06","3.83%","19,980","Analyze"
"EH","EHang Holdings Limited ADRs","China","PRIVATE","","Industrials","$1,107,798,130","0.00","40.38","3.79","0.00%","2,798,064","Analyze"
"GOL","Gol Linhas ADRs of preferred shares","Brazil","BS:GOLL4","XBSP","Industrials","$1,097,467,153","0.00","1.75","-0.08","0.16%","2,578,649","Analyze"
"MESO","Mesoblast ADRs","Australia","AT:MSB","Asx - All Markets","Health Care","$1,071,645,908","-10.92","65.15","2.07","0.00%","189,714","Analyze"
"PLL","Piedmont Lithium Limited ADRs","Australia","AT:PLL","Asx - All Markets","Materials","$1,047,422,124","-602.67","0.00","13.11","0.00%","1,476,404","Analyze"
"CNTB","Connect Biopharma Holdings Ltd ADRs","China","PRIVATE","","Health Care","$999,118,482","0.00","0.00","0.00","0.00%","292,573","Analyze"
"ICLK","iClick Interactive Asia Group Limited ADRs","China","PRIVATE","","Communication Services","$984,007,568","-77.98","3.86","3.62","0.00%","859,053","Analyze"
"CANG","Cango Inc. ADRs of Class A","China","PRIVATE","","Information Technology","$933,617,623","2.49","2.99","0.11","2.71%","986,418","Analyze"
"CLLS","Cellectis SA ADRs","France","FP:ALCLS","Euronext Paris","Health Care","$895,389,293","-10.93","27.65","3.25","0.00%","372,419","Analyze"
"ORTX","Orchard Therapeutics plc ADRs","United Kingdom","PRIVATE","","Health Care","$894,317,279","-7.56","280.17","5.01","0.00%","989,711","Analyze"
"GGAL","Grupo Financiero Galicia ADRs of Class B","Argentina","AF:GGAL","Bolsa de Comercio de Buenos Aires","Financials","$878,629,180","3.79","0.42","0.00","0.99%","562,621","Analyze"
"GRVY","Gravity ADRs","South Korea","PRIVATE","","Information Technology","$875,283,444","15.90","2.44","0.00","0.00%","35,253","Analyze"
"ADAP","Adaptimmune Therapeutics ADRs","United Kingdom","PRIVATE","","Health Care","$872,169,550","-6.70","220.36","2.56","0.00%","787,710","Analyze"
"SY","So-Young International Inc. ADRs of Class A","China","PRIVATE","","Communication Services","$870,771,199","1,228.75","4.42","0.34","0.00%","1,239,529","Analyze"
"GHG","GreenTree Hospitality Group Ltd. ADRs of Class A","China","PRIVATE","","Consumer Discretionary","$869,666,993","35.39","6.14","0.43","2.02%","16,318","Analyze"
"RNLX","Renalytix AI PLC ADRs","United Kingdom","LN:RENX","London Stock Exchange","Health Care","$869,610,742","-99.97","0.00","10.01","0.00%","137,973","Analyze"
"WBAI","500.com ADRs of Class A","China","PRIVATE","","Consumer Discretionary","$866,277,168","0.00","260.80","2.15","0.00%","735,451","Analyze"
"PTNR","Partner Communications ADRs","Israel","IT:PTNR","Tel Aviv Stock Exchange","Communication Services","$865,311,337","91.84","0.91","0.50","0.00%","4,988","Analyze"
"GRCL","Gracell Biotechnologies Inc. ADRs","China","PRIVATE","","Health Care","$852,321,587","0.00","0.00","1.04","0.00%","90,820","Analyze"
"DAO","Youdao, Inc. ADRs of Class A","China","PRIVATE","","Consumer Discretionary","$849,957,256","0.00","1.76","-0.60","0.00%","651,277","Analyze"
"DRD","DRDGold Ltd ADRs","South Africa","SJ:DRD","Johannesburg Stock Exchange","Materials","$849,890,702","10.15","0.93","0.18","3.43%","273,816","Analyze"
"PAM","Pampa Energia ADRs","Argentina","AF:PAMP","Bolsa de Comercio de Buenos Aires","Utilities","$844,099,965","-0.03","0.01","0.01","0.00%","96,382","Analyze"
"SOGO","Sogou Inc. ADRs of Class A","China","PRIVATE","","Information Technology","$838,821,986","-7.75","0.91","0.86","0.00%","779,188","Analyze"
"BMA","Banco Macro S.A.  ADRs of Class B shares","Argentina","AF:BMA","Bolsa de Comercio de Buenos Aires","Financials","$827,310,084","2.53","0.87","0.01","1.29%","315,179","Analyze"
"SHI","Sinopec Shanghai Petrochemical ADRs","China","HK:0338","Hong Kong Exchange","Industrials","$814,335,000","25.96","0.05","0.03","7.25%","23,099","Analyze"
"SLN","Silence Therapeutics Plc ADRs","United Kingdom","LN:SLN","London Stock Exchange","Health Care","$774,047,367","0.00","488.34","88.08","0.00%","514","Analyze"
"LOMA","Loma Negra Compania Industrial Argentina SA ADRs","Argentina","PRIVATE","","Materials","$773,642,384","6.26","1.82","0.02","4.11%","361,906","Analyze"
"ADAG","Adagene Inc. ADRs","China","PRIVATE","","Health Care","$773,465,780","-164.11","38.67","-8.58","0.00%","40,797","Analyze"
"FANH","Fanhua Inc. ADRs","China","PRIVATE","","Financials","$754,945,921","18.93","1.52","0.41","6.93%","58,234","Analyze"
"SOL","ReneSola Ltd. ADRs","China","PRIVATE","","Materials","$750,786,985","-74.06","8.98","7.26","0.00%","3,771,100","Analyze"
"BCYC","Bicycle Therapeutics plc  ADRs","United Kingdom","PRIVATE","","Health Care","$705,180,266","-13.82","67.87","7.39","0.00%","172,369","Analyze"
"TEO","Telecom Argentina ADRs","Argentina","AF:TECO2","Bolsa de Comercio de Buenos Aires","Communication Services","$694,625,042","22.00","0.24","0.00","4.01%","311,069","Analyze"
"CALT","Calliditas Therapeutics AB ADRs","Sweden","SS:CALTX","Nasdaq Omx Nordic","Health Care","$685,448,240","0.00","6,844.37","0.57","0.00%","14,470","Analyze"
"IH","iHuman Inc. ADRs of Class A","China","PRIVATE","","Consumer Discretionary","$667,622,784","0.00","8.48","0.00","0.00%","114,967","Analyze"
"CPAC","Cementos Pacasmayo SAA ADRs","Peru","PE:CPACASC1","Bolsa De Valores De Lima","Materials","$658,182,929","69.57","1.52","0.48","4.10%","3,145","Analyze"
"SOHU","Sohu.com Limited ADRs","China","PRIVATE","","Communication Services","$617,895,398","-7.18","0.49","1.78","0.00%","295,131","Analyze"
"SIFY","SIFY Technologies Limited ADRs","India","PRIVATE","","Communication Services","$616,527,970","66.67","1.95","0.05","0.51%","1,241,966","Analyze"
"DBVT","DBV Technologies S.A. ADRs","France","FP:DBV","Euronext Paris","Health Care","$594,414,953","0.00","189.94","2.90","0.00%","133,036","Analyze"
"YI","111, Inc. ADRs","China","PRIVATE","","Consumer Staples","$593,863,799","0.00","0.48","1.66","0.00%","836,461","Analyze"
"IVA","Inventiva S.A. ADRs","France","FP:IVA","Euronext Paris","Health Care","$577,522,402","0.00","0.00","0.00","0.00%","38,891","Analyze"
"QIWI","QIWI plc ADRs","Russia","PRIVATE","","Information Technology","$545,764,924","6.40","0.98","0.02","7.51%","434,755","Analyze"
"NBTX","Nanobiotix S.A. - ADRs","France","FP:NANO","Euronext Paris","Health Care","$535,247,336","0.00","641.54","-24.84","0.00%","9,723","Analyze"
"SMMT","Summit Therapeutics PLC ADRs","United Kingdom","LN:SUMM","London Stock Exchange","Health Care","$534,809,419","-10.40","455.95","6.73","0.00%","131,727","Analyze"
"AVDL","Avadel Pharmaceuticals PLC ADRs","Ireland","PRIVATE","","Health Care","$520,339,844","17.34","23.30","3.21","0.00%","404,211","Analyze"
"FLY","Fly Leasing ADRs","Ireland","PRIVATE","","Industrials","$512,996,391","-7.61","1.56","0.65","0.00%","1,061,532","Analyze"
"AMYT","Amryt Pharma plc ADRs","United Kingdom","LN:AMYT","London Stock Exchange","Health Care","$512,682,273","-4.90","2.78","7.75","0.00%","32,821","Analyze"
"WIMI","WiMi Hologram Cloud Inc. ADRs of Class B","China","PRIVATE","","Consumer Discretionary","$494,394,158","53.59","5.70","0.80","0.00%","5,210,831","Analyze"
"VRNA","Verona Pharma plc ADRs","United Kingdom","LN:VRP","London Stock Exchange","Health Care","$454,963,787","0.00","0.00","2.46","0.00%","81,217","Analyze"
"BQ","Boqii Holding Limited ADRs of Class A","China","PRIVATE","","Consumer Discretionary","$439,433,233","0.00","3.08","2.86","0.00%","661,237","Analyze"
"BEST","BEST Inc. ADRs of Class A","China","PRIVATE","","Industrials","$435,992,607","0.00","0.09","0.25","0.00%","2,802,166","Analyze"
"HKIB","AMTD International Inc. ADRs of class A","Hong Kong","PRIVATE","","Financials","$434,425,121","12.50","2.72","0.05","0.00%","156,782","Analyze"
"XNET","Xunlei Limited ADRs","China","PRIVATE","","Information Technology","$432,716,162","-31.27","2.32","1.48","0.00%","2,767,155","Analyze"
"QD","Qudian Inc. ADRs of Class A","China","PRIVATE","","Financials","$429,914,973","4.14","0.77","0.04","0.00%","8,115,662","Analyze"
"JFIN","Jiayin Group Inc. ADRs of class A","China","PRIVATE","","Information Technology","$423,556,000","14.29","2.14","-0.76","0.00%","12,689,898","Analyze"
"UXIN","Uxin Limited ADRs","China","PRIVATE","","Consumer Discretionary","$423,428,798","0.00","5.13","-0.22","0.00%","22,588,990","Analyze"
"AUTL","Autolus Therapeutics plc ADRs","United Kingdom","PRIVATE","","Health Care","$420,928,635","-4.24","321.07","2.00","0.00%","638,733","Analyze"
"AENZ","Aenza S.A.A. ADRs","Peru","PE:AENZAC1","Bolsa De Valores De Lima","Industrials","$418,520,570","0.00","0.41","0.31","0.00%","133,558","Analyze"
"OPT","Opthea Limited ADRs","Australia","PRIVATE","","Health Care","$416,319,392","0.00","2,201.30","2.15","0.00%","10,746","Analyze"
"QTT","Qutoutiao Inc. ADRs","China","PRIVATE","","Communication Services","$410,997,552","0.00","0.51","-0.32","0.00%","4,622,611","Analyze"
"MREO","Mereo BioPharma Group plc ADRs","United Kingdom","LN:MPH","London Stock Exchange","Health Care","$405,919,733","0.00","0.00","-27.11","0.00%","2,353,397","Analyze"
"TOUR","Tuniu Corp ADRs","China","PRIVATE","","Consumer Discretionary","$399,760,046","0.00","5.83","0.29","0.00%","1,777,783","Analyze"
"ITMR","Itamar Medical Ltd. ADRs","Israel","IT:ITMR","Tel Aviv Stock Exchange","Health Care","$392,161,188","-37.44","9.44","9.51","0.00%","28,079","Analyze"
"FRSX","Foresight Autonomous Holdings Ltd. ADRs","Israel","IT:FRSX","Tel Aviv Stock Exchange","Real Estate","$391,748,633","0.00","0.00","8.33","0.00%","3,313,874","Analyze"
"YRD","Yirendai Limited ADRs","China","PRIVATE","","Financials","$389,787,308","10.07","0.50","0.09","6.57%","167,183","Analyze"
"HUIZ","Huize Holding Limited ADRs of Class A","China","PRIVATE","","Financials","$377,916,137","77.81","2.03","0.81","0.00%","151,718","Analyze"
"TGS","Transportadora de Gas del Sur SA ADRs","Argentina","AF:TGSU2","Bolsa de Comercio de Buenos Aires","Energy","$377,623,609","20.51","0.67","0.01","1.17%","84,725","Analyze"
"DNK","Phoenix Tree Holdings Limited ADRs of class A","China","PRIVATE","","Real Estate","$374,659,691","0.00","0.31","1.40","0.00%","123,659","Analyze"
"JG","Aurora Mobile Limited ADRs","China","PRIVATE","","Information Technology","$373,522,160","0.00","5.20","1.16","0.00%","1,581,110","Analyze"
"MTL","Mechel PJSC ADRs","Russia","RX:MTLR","Standard-Classica-Forts","Materials","$366,758,057","0.98","0.11","-0.00","0.00%","106,920","Analyze"
"IPHA","Innate Pharma S.A. ADRs","France","FP:IPH","Euronext Paris","Health Care","$364,142,701","13.66","2.44","2.33","0.00%","6,120","Analyze"
"LEJU","Leju Holdings ADRs","China","PRIVATE","","Real Estate","$347,540,408","18.01","0.35","1.17","7.72%","86,024","Analyze"
"LND","Brasilagro Brazilian Agric Real Estate Co ADRs","Brazil","BS:AGRO3","XBSP","Consumer Staples","$345,659,107","3.12","0.52","0.30","3.11%","28,413","Analyze"
"MIXT","MiX Telematics ADRs","South Africa","SJ:MIX","Johannesburg Stock Exchange","Information Technology","$344,927,720","27.55","2.87","2.80","1.74%","32,750","Analyze"
"DUO","Fangdd Network Group Ltd. ADRs","China","PRIVATE","","Communication Services","$342,406,285","0.00","0.92","0.23","0.00%","59,011","Analyze"
"CEPU","Central Puerto S.A. ADRs","Argentina","AF:CEPU","Bolsa de Comercio de Buenos Aires","Utilities","$340,655,009","4.56","0.95","0.00","1.15%","189,890","Analyze"
"NEW","Puxin Limited ADRs","China","PRIVATE","","Consumer Discretionary","$338,440,744","0.00","0.77","0.80","0.00%","510,373","Analyze"
"WKEY","WISeKey International Holding AG ADRs","Switzerland","SE:WIHN","Six Swiss Exchange","Information Technology","$330,882,432","-14.85","14.20","17.44","0.00%","13,780,450","Analyze"
"VIOT","Viomi Technology Co. ADRs","China","PRIVATE","","Information Technology","$320,129,731","25.05","0.36","0.21","1.98%","1,005,741","Analyze"
"LITB","LightInTheBox ADRs","China","PRIVATE","","Consumer Discretionary","$309,618,348","23.25","0.78","6.28","0.00%","576,314","Analyze"
"IRCP","IRSA Propiedades Comerciales ADRs","Argentina","AF:IRCP","Bolsa de Comercio de Buenos Aires","Real Estate","$304,013,600","1.26","3.38","0.00","2.02%","14,114","Analyze"
"RDHL","RedHill Biopharma ADRs","Israel","IT:RDHL","Tel Aviv Stock Exchange","Health Care","$299,009,969","-3.93","4.65","21.57","0.00%","338,942","Analyze"
"LIZI","LIZHI INC. ADRs of Class A","China","PRIVATE","","Communication Services","$295,284,175","34.82","1.29","1.75","0.00%","6,728,944","Analyze"
"ZEPP","Zepp Health Corporation ADRs","China","PRIVATE","","Information Technology","$288,793,835","24.70","0.29","0.11","0.00%","550,686","Analyze"
"VIAO","VIA optronics AG ADRs","Germany","PRIVATE","","Information Technology","$286,875,000","0.00","1.50","3.70","0.00%","64,895","Analyze"
"CRESY","Cresud SACIF ADRs","Argentina","AF:CRES","Bolsa de Comercio de Buenos Aires","Real Estate","$277,908,560","0.00","0.24","0.01","0.00%","217,749","Analyze"
